round,participants,expected,models,dataset,accuracy,loss,micro_f1,macro_f1,macro_auroc,exact_match,recorded_at
22,100,99,99,chestmnist,94.7354,0.194399,0.000484,0.002020,0.505364,53.0870,2026-06-24 09:11:07
23,100,99,99,chestmnist,94.7364,0.193727,0.000484,0.002021,0.505325,53.0914,2026-06-24 09:12:57
24,100,99,99,chestmnist,94.7373,0.193126,0.000484,0.002023,0.505336,53.1003,2026-06-24 09:14:38
25,100,99,99,chestmnist,94.7380,0.192592,0.000484,0.002024,0.505460,53.1048,2026-06-24 09:16:28
26,100,99,99,chestmnist,94.7380,0.192114,0.000484,0.002024,0.505752,53.1048,2026-06-24 09:18:16
27,100,99,99,chestmnist,94.7377,0.191680,0.000363,0.001518,0.505836,53.1048,2026-06-24 09:20:07
28,100,99,99,chestmnist,94.7380,0.191289,0.000242,0.001012,0.505808,53.1093,2026-06-24 09:21:57
29,100,99,99,chestmnist,94.7380,0.190933,0.000242,0.001012,0.505818,53.1093,2026-06-24 09:23:45
30,100,99,99,chestmnist,94.7383,0.190607,0.000242,0.001012,0.505809,53.1093,2026-06-24 09:25:37
31,100,99,99,chestmnist,94.7396,0.190310,0.000242,0.001013,0.505855,53.1226,2026-06-24 09:27:27
32,100,99,99,chestmnist,94.7399,0.190038,0.000242,0.001013,0.505981,53.1271,2026-06-24 09:29:17
33,100,99,99,chestmnist,94.7399,0.189790,0.000242,0.001013,0.506098,53.1271,2026-06-24 09:31:09
34,100,99,99,chestmnist,94.7402,0.189559,0.000242,0.001013,0.506305,53.1315,2026-06-24 09:33:01
35,100,99,99,chestmnist,94.7408,0.189347,0.000242,0.001014,0.506447,53.1405,2026-06-24 09:34:52
36,100,99,99,chestmnist,94.7408,0.189152,0.000242,0.001014,0.506619,53.1405,2026-06-24 09:36:43
37,100,99,99,chestmnist,94.7412,0.188968,0.000242,0.001014,0.507366,53.1449,2026-06-24 09:38:33
38,100,99,99,chestmnist,94.7408,0.188799,0.000121,0.000507,0.507599,53.1449,2026-06-24 09:40:24
39,100,99,99,chestmnist,94.7408,0.188643,0.000121,0.000507,0.507646,53.1449,2026-06-24 09:42:14
40,100,99,99,chestmnist,94.7412,0.188498,0.000121,0.000507,0.507717,53.1494,2026-06-24 09:44:05
41,100,99,99,chestmnist,94.7412,0.188362,0.000121,0.000507,0.507773,53.1494,2026-06-24 09:45:56
42,100,99,99,chestmnist,94.7412,0.188234,0.000121,0.000507,0.507822,53.1494,2026-06-24 09:47:47
43,100,99,99,chestmnist,94.7415,0.188115,0.000121,0.000507,0.507832,53.1538,2026-06-24 09:49:41
44,100,99,99,chestmnist,94.7418,0.188005,0.000121,0.000507,0.507841,53.1583,2026-06-24 09:51:32
45,100,99,99,chestmnist,94.7418,0.187901,0.000121,0.000507,0.507779,53.1583,2026-06-24 09:53:25
46,100,99,99,chestmnist,94.7418,0.187804,0.000121,0.000507,0.507745,53.1583,2026-06-24 09:55:17
47,100,99,99,chestmnist,94.7418,0.187713,0.000121,0.000507,0.507810,53.1583,2026-06-24 09:57:10
48,100,99,99,chestmnist,94.7418,0.187627,0.000121,0.000507,0.508117,53.1583,2026-06-24 09:59:03
49,100,99,99,chestmnist,94.7421,0.187545,0.000121,0.000507,0.508292,53.1628,2026-06-24 10:01:03
50,100,99,99,chestmnist,94.7421,0.187470,0.000121,0.000507,0.508392,53.1628,2026-06-24 10:02:39
