round,participants,expected,models,dataset,accuracy,loss,micro_f1,macro_f1,macro_auroc,exact_match,recorded_at
2,100,99,99,chestmnist,66.9498,0.623389,0.104170,0.078440,0.492395,0.0000,2026-06-24 08:34:35
3,100,99,99,chestmnist,76.7008,0.476221,0.084226,0.063108,0.489752,0.1961,2026-06-24 08:36:29
4,100,99,99,chestmnist,84.7084,0.381640,0.066588,0.045874,0.489937,6.0803,2026-06-24 08:38:19
5,100,99,99,chestmnist,90.6732,0.320768,0.045303,0.030189,0.492563,28.9663,2026-06-24 08:40:08
6,100,99,99,chestmnist,93.2692,0.282140,0.023558,0.019094,0.496108,42.8253,2026-06-24 08:41:57
7,100,99,99,chestmnist,94.2078,0.257497,0.011520,0.013678,0.498583,49.1330,2026-06-24 08:43:45
8,100,99,99,chestmnist,94.5119,0.241292,0.006914,0.013020,0.500459,51.4376,2026-06-24 08:45:35
9,100,99,99,chestmnist,94.6265,0.230156,0.004601,0.010462,0.501649,52.3069,2026-06-24 08:47:26
10,100,99,99,chestmnist,94.6778,0.222179,0.003458,0.006818,0.502533,52.6590,2026-06-24 08:49:16
11,100,99,99,chestmnist,94.7001,0.216250,0.002397,0.009723,0.503540,52.8195,2026-06-24 08:51:05
12,100,99,99,chestmnist,94.7119,0.211722,0.001563,0.008111,0.504426,52.9220,2026-06-24 08:52:55
13,100,99,99,chestmnist,94.7166,0.208183,0.001084,0.007145,0.504946,52.9666,2026-06-24 08:54:44
14,100,99,99,chestmnist,94.7211,0.205352,0.000723,0.003987,0.505228,53.0023,2026-06-24 08:56:33
15,100,99,99,chestmnist,94.7249,0.203047,0.000724,0.004011,0.505477,53.0201,2026-06-24 08:58:23
16,100,99,99,chestmnist,94.7281,0.201139,0.000604,0.002516,0.505698,53.0424,2026-06-24 09:00:13
17,100,99,99,chestmnist,94.7307,0.199543,0.000604,0.002520,0.505843,53.0513,2026-06-24 09:02:02
18,100,99,99,chestmnist,94.7329,0.198193,0.000604,0.002522,0.505928,53.0736,2026-06-24 09:03:50
19,100,99,99,chestmnist,94.7348,0.197034,0.000604,0.002525,0.505805,53.0914,2026-06-24 09:05:41
20,100,99,99,chestmnist,94.7348,0.196033,0.000604,0.002525,0.505425,53.0914,2026-06-24 09:07:30
21,100,99,99,chestmnist,94.7354,0.195163,0.000604,0.002525,0.505371,53.0914,2026-06-24 09:09:19
