round,participants,expected,models,dataset,accuracy,loss,micro_f1,macro_f1,macro_auroc,exact_match,recorded_at
2,50,49,49,chestmnist,67.0584,0.621995,0.103422,0.078186,0.492072,0.0000,2026-06-21 08:53:41
3,50,49,49,chestmnist,76.8371,0.475402,0.082972,0.062534,0.489649,0.1961,2026-06-21 08:54:33
4,50,49,49,chestmnist,84.7167,0.381422,0.065749,0.045418,0.489883,6.0001,2026-06-21 08:55:23
5,50,49,49,chestmnist,90.6770,0.320513,0.044386,0.029532,0.492594,29.0019,2026-06-21 08:56:03
6,50,49,49,chestmnist,93.2733,0.282014,0.023030,0.018872,0.496230,42.9011,2026-06-21 08:56:46
7,50,49,49,chestmnist,94.2113,0.257463,0.011419,0.013591,0.498726,49.1865,2026-06-21 08:57:29
8,50,49,49,chestmnist,94.5116,0.241315,0.006685,0.011417,0.500476,51.4242,2026-06-21 08:58:15
9,50,49,49,chestmnist,94.6288,0.230213,0.004485,0.010385,0.501596,52.3381,2026-06-21 08:59:07
10,50,49,49,chestmnist,94.6791,0.222245,0.003459,0.006833,0.502572,52.6724,2026-06-21 08:59:52
11,50,49,49,chestmnist,94.6988,0.216340,0.002277,0.006732,0.503426,52.8106,2026-06-21 09:00:29
12,50,49,49,chestmnist,94.7112,0.211837,0.001683,0.008345,0.504156,52.9265,2026-06-21 09:01:14
13,50,49,49,chestmnist,94.7163,0.208290,0.000843,0.004206,0.504678,52.9666,2026-06-21 09:02:00
14,50,49,49,chestmnist,94.7205,0.205463,0.000723,0.003987,0.505024,52.9978,2026-06-21 09:02:42
15,50,49,49,chestmnist,94.7252,0.203156,0.000724,0.004010,0.505134,53.0290,2026-06-21 09:03:20
16,50,49,49,chestmnist,94.7265,0.201242,0.000603,0.002513,0.505223,53.0379,2026-06-21 09:03:59
17,50,49,49,chestmnist,94.7300,0.199631,0.000604,0.002519,0.505264,53.0558,2026-06-21 09:04:38
18,50,49,49,chestmnist,94.7323,0.198275,0.000604,0.002521,0.505160,53.0647,2026-06-21 09:05:18
19,50,49,49,chestmnist,94.7332,0.197113,0.000604,0.002523,0.504897,53.0736,2026-06-21 09:06:10
20,50,49,49,chestmnist,94.7342,0.196110,0.000604,0.002524,0.504827,53.0870,2026-06-21 09:06:56
21,50,49,49,chestmnist,94.7351,0.195236,0.000604,0.002525,0.504734,53.0914,2026-06-21 09:07:35
22,50,49,49,chestmnist,94.7361,0.194468,0.000605,0.002525,0.504842,53.0959,2026-06-21 09:08:21
23,50,49,49,chestmnist,94.7361,0.193793,0.000605,0.002525,0.505052,53.0914,2026-06-21 09:08:59
24,50,49,49,chestmnist,94.7373,0.193189,0.000605,0.002528,0.505075,53.1003,2026-06-21 09:09:33
25,50,49,49,chestmnist,94.7377,0.192651,0.000484,0.002023,0.505035,53.1003,2026-06-21 09:10:12
26,50,49,49,chestmnist,94.7377,0.192170,0.000484,0.002023,0.505072,53.1003,2026-06-21 09:10:48
27,50,49,49,chestmnist,94.7383,0.191732,0.000363,0.001519,0.505098,53.1093,2026-06-21 09:11:21
28,50,49,49,chestmnist,94.7383,0.191337,0.000363,0.001519,0.505103,53.1093,2026-06-21 09:12:11
29,50,49,49,chestmnist,94.7383,0.190978,0.000363,0.001519,0.505117,53.1093,2026-06-21 09:12:57
30,50,49,49,chestmnist,94.7383,0.190647,0.000242,0.001013,0.505259,53.1137,2026-06-21 09:13:46
31,50,49,49,chestmnist,94.7383,0.190348,0.000242,0.001013,0.505316,53.1137,2026-06-21 09:14:30
32,50,49,49,chestmnist,94.7396,0.190070,0.000242,0.001014,0.505433,53.1271,2026-06-21 09:15:19
33,50,49,49,chestmnist,94.7396,0.189817,0.000242,0.001014,0.505522,53.1271,2026-06-21 09:15:53
34,50,49,49,chestmnist,94.7402,0.189584,0.000242,0.001014,0.505582,53.1315,2026-06-21 09:16:44
35,50,49,49,chestmnist,94.7402,0.189370,0.000242,0.001014,0.505672,53.1315,2026-06-21 09:17:34
36,50,49,49,chestmnist,94.7402,0.189171,0.000242,0.001014,0.505842,53.1315,2026-06-21 09:18:21
37,50,49,49,chestmnist,94.7402,0.188988,0.000242,0.001014,0.505943,53.1315,2026-06-21 09:19:01
38,50,49,49,chestmnist,94.7405,0.188820,0.000242,0.001014,0.506045,53.1360,2026-06-21 09:19:43
39,50,49,49,chestmnist,94.7408,0.188660,0.000242,0.001014,0.506082,53.1405,2026-06-21 09:20:29
40,50,49,49,chestmnist,94.7408,0.188510,0.000121,0.000507,0.506691,53.1449,2026-06-21 09:21:20
41,50,49,49,chestmnist,94.7412,0.188374,0.000121,0.000507,0.506900,53.1494,2026-06-21 09:22:07
42,50,49,49,chestmnist,94.7412,0.188247,0.000121,0.000507,0.506925,53.1494,2026-06-21 09:22:57
43,50,49,49,chestmnist,94.7415,0.188128,0.000121,0.000507,0.506909,53.1538,2026-06-21 09:23:46
44,50,49,49,chestmnist,94.7418,0.188018,0.000121,0.000507,0.506879,53.1583,2026-06-21 09:24:35
45,50,49,49,chestmnist,94.7418,0.187915,0.000121,0.000507,0.506816,53.1583,2026-06-21 09:25:26
46,50,49,49,chestmnist,94.7418,0.187816,0.000121,0.000507,0.506727,53.1583,2026-06-21 09:26:14
